projectid,projectstateid,clientid,providerid,disciplineid,tierid,projectname,projectgoals,projectdescription,uploadlocation,attributesknowledge,startbydatetime,deadlinedatetime,minyears,maxyears,interactionfrequency,filterbyindustry,budgetcurrency,budget,hours,effectivehourlyrate,advertisementdatetime,createddate,updateddate,deleteddate,qualityofwork,timeliness,responsiveness,professionalism,likeability,knowledge,attentiontodetail
104,2,17,9,1,1,,,,,,,2014-Feb-05 00:00:00 +0000,,,,,,,,,,,,,7,8,8,5,4,6,8
105,2,8,9,1,1,,,,,,,2014-Feb-25 00:00:00 +0000,,,,,,,,,,,,,5,9,4,6,7,8,9
106,2,8,9,1,1,,,,,,,2014-Apr-17 00:00:00 +0000,,,,,,,,,,,,,7,4,4,4,8,4,6
107,2,11,9,1,1,,,,,,,2014-Apr-26 00:00:00 +0000,,,,,,,,,,,,,7,8,4,8,9,8,9
108,2,7,9,1,1,,,,,,,2014-Apr-27 00:00:00 +0000,,,,,,,,,,,,,5,7,8,4,9,8,8
109,2,6,9,1,1,,,,,,,2014-Mar-13 00:00:00 +0000,,,,,,,,,,,,,4,8,5,8,4,5,7
110,2,8,9,1,1,,,,,,,2014-May-08 00:00:00 +0000,,,,,,,,,,,,,5,4,4,4,7,7,8
111,2,6,9,1,1,,,,,,,2014-Aug-02 00:00:00 +0000,,,,,,,,,,,,,5,4,7,9,4,8,6
112,2,8,9,1,1,,,,,,,2014-Jun-08 00:00:00 +0000,,,,,,,,,,,,,7,4,5,5,8,8,9
113,2,4,9,1,1,,,,,,,2014-Aug-06 00:00:00 +0000,,,,,,,,,,,,,9,6,5,9,7,6,8
114,2,3,9,1,1,,,,,,,2014-May-12 00:00:00 +0000,,,,,,,,,,,,,5,7,7,8,7,4,8
115,2,11,9,1,1,,,,,,,2014-Jan-05 00:00:00 +0000,,,,,,,,,,,,,4,8,8,7,5,5,7
116,2,10,9,1,1,,,,,,,2014-Jan-12 00:00:00 +0000,,,,,,,,,,,,,6,4,5,6,9,9,4
117,2,16,9,1,1,,,,,,,2014-Mar-29 00:00:00 +0000,,,,,,,,,,,,,8,5,4,8,7,8,5
118,2,12,9,1,1,,,,,,,2014-Jan-16 00:00:00 +0000,,,,,,,,,,,,,8,6,7,7,4,6,7
119,2,16,9,1,1,,,,,,,2014-Jul-18 00:00:00 +0000,,,,,,,,,,,,,8,4,4,5,6,7,8
120,2,8,9,1,1,,,,,,,2014-Jul-01 00:00:00 +0000,,,,,,,,,,,,,9,6,5,8,9,9,6
121,2,20,9,1,1,,,,,,,2014-Jan-04 00:00:00 +0000,,,,,,,,,,,,,5,9,8,9,6,8,6
122,2,15,10,1,1,,,,,,,2014-May-23 00:00:00 +0000,,,,,,,,,,,,,6,6,8,4,5,4,6
123,2,17,10,1,1,,,,,,,2014-Jul-07 00:00:00 +0000,,,,,,,,,,,,,4,8,8,5,8,4,4
124,2,2,10,1,1,,,,,,,2014-Mar-20 00:00:00 +0000,,,,,,,,,,,,,7,8,5,9,6,9,9
125,2,6,10,1,1,,,,,,,2014-Apr-22 00:00:00 +0000,,,,,,,,,,,,,8,5,6,4,6,4,8
126,2,14,10,1,1,,,,,,,2014-Jan-29 00:00:00 +0000,,,,,,,,,,,,,6,6,6,5,9,6,8
127,2,2,10,1,1,,,,,,,2014-Aug-06 00:00:00 +0000,,,,,,,,,,,,,5,4,8,4,8,7,9
128,2,14,10,1,1,,,,,,,2014-Jan-24 00:00:00 +0000,,,,,,,,,,,,,7,8,4,4,4,8,7
129,2,9,10,1,1,,,,,,,2014-Aug-28 00:00:00 +0000,,,,,,,,,,,,,6,7,4,4,4,6,6
130,2,12,10,1,1,,,,,,,2014-Mar-08 00:00:00 +0000,,,,,,,,,,,,,7,7,7,7,9,5,7
131,2,14,10,1,1,,,,,,,2014-Jul-08 00:00:00 +0000,,,,,,,,,,,,,5,6,4,4,4,8,7
132,2,3,10,1,1,,,,,,,2014-Jul-25 00:00:00 +0000,,,,,,,,,,,,,9,5,4,4,7,6,8
133,2,19,10,1,1,,,,,,,2014-Feb-28 00:00:00 +0000,,,,,,,,,,,,,6,7,7,8,9,6,8
134,2,4,10,1,1,,,,,,,2014-Jul-30 00:00:00 +0000,,,,,,,,,,,,,8,9,4,7,4,7,8
135,2,19,10,1,1,,,,,,,2014-Jan-18 00:00:00 +0000,,,,,,,,,,,,,8,4,8,7,5,9,9
136,2,5,10,1,1,,,,,,,2014-Aug-23 00:00:00 +0000,,,,,,,,,,,,,5,6,7,5,4,4,7
137,2,18,10,1,1,,,,,,,2014-Aug-07 00:00:00 +0000,,,,,,,,,,,,,5,6,7,9,4,8,8
138,2,9,10,1,1,,,,,,,2014-Aug-01 00:00:00 +0000,,,,,,,,,,,,,6,6,7,4,5,5,5
139,2,8,10,1,1,,,,,,,2014-Jul-06 00:00:00 +0000,,,,,,,,,,,,,8,4,5,6,9,8,6
140,2,19,10,1,1,,,,,,,2014-Feb-12 00:00:00 +0000,,,,,,,,,,,,,5,6,5,7,4,7,5
141,2,14,10,1,1,,,,,,,2014-Mar-04 00:00:00 +0000,,,,,,,,,,,,,5,8,6,5,8,6,4
142,2,11,11,1,1,,,,,,,2014-Jan-19 00:00:00 +0000,,,,,,,,,,,,,8,5,4,8,6,7,6
143,2,9,11,1,1,,,,,,,2014-Jun-09 00:00:00 +0000,,,,,,,,,,,,,4,7,7,7,6,6,5
144,2,17,11,1,1,,,,,,,2014-Jul-13 00:00:00 +0000,,,,,,,,,,,,,4,6,6,6,9,6,4
145,2,17,11,1,1,,,,,,,2014-Jun-26 00:00:00 +0000,,,,,,,,,,,,,4,5,8,6,5,5,4
146,2,15,11,1,1,,,,,,,2014-Jul-10 00:00:00 +0000,,,,,,,,,,,,,4,6,7,4,4,4,7
147,2,20,11,1,1,,,,,,,2014-Aug-15 00:00:00 +0000,,,,,,,,,,,,,8,7,4,7,5,7,5
148,2,13,11,1,1,,,,,,,2014-Jul-09 00:00:00 +0000,,,,,,,,,,,,,6,4,7,5,6,5,8
149,2,5,11,1,1,,,,,,,2014-Feb-06 00:00:00 +0000,,,,,,,,,,,,,6,4,6,5,4,7,7
150,2,5,11,1,1,,,,,,,2014-Jan-21 00:00:00 +0000,,,,,,,,,,,,,5,8,7,7,9,5,7
151,2,7,11,1,1,,,,,,,2014-Feb-14 00:00:00 +0000,,,,,,,,,,,,,5,4,7,9,7,4,9
152,2,13,11,1,1,,,,,,,2014-Apr-25 00:00:00 +0000,,,,,,,,,,,,,6,7,5,5,7,5,4
153,2,10,11,1,1,,,,,,,2014-Apr-30 00:00:00 +0000,,,,,,,,,,,,,5,7,4,7,9,5,6
154,2,7,11,1,1,,,,,,,2014-Feb-10 00:00:00 +0000,,,,,,,,,,,,,7,8,5,9,5,4,5
155,2,8,11,1,1,,,,,,,2014-Jul-05 00:00:00 +0000,,,,,,,,,,,,,7,4,9,6,8,7,6
156,2,20,11,1,1,,,,,,,2014-Jul-26 00:00:00 +0000,,,,,,,,,,,,,9,4,7,5,7,7,7
157,2,19,11,1,1,,,,,,,2014-Jun-22 00:00:00 +0000,,,,,,,,,,,,,7,7,7,6,7,6,9
158,2,5,11,1,1,,,,,,,2014-Apr-03 00:00:00 +0000,,,,,,,,,,,,,5,8,9,5,4,4,7
159,2,4,11,1,1,,,,,,,2014-Aug-07 00:00:00 +0000,,,,,,,,,,,,,4,5,9,4,5,8,5
160,2,2,11,1,1,,,,,,,2014-Mar-26 00:00:00 +0000,,,,,,,,,,,,,9,5,4,8,7,6,7
161,2,7,11,1,1,,,,,,,2014-Apr-10 00:00:00 +0000,,,,,,,,,,,,,4,7,5,4,5,9,6
162,2,2,12,1,1,,,,,,,2014-Aug-03 00:00:00 +0000,,,,,,,,,,,,,7,7,5,6,4,4,4
163,2,7,12,1,1,,,,,,,2014-May-13 00:00:00 +0000,,,,,,,,,,,,,6,9,4,6,8,6,6
164,2,17,12,1,1,,,,,,,2014-Jul-26 00:00:00 +0000,,,,,,,,,,,,,6,8,4,8,7,7,5
165,2,20,12,1,1,,,,,,,2014-Feb-14 00:00:00 +0000,,,,,,,,,,,,,6,5,7,7,6,9,5
166,2,18,12,1,1,,,,,,,2014-Jun-14 00:00:00 +0000,,,,,,,,,,,,,7,7,5,9,6,7,8
167,2,20,12,1,1,,,,,,,2014-May-04 00:00:00 +0000,,,,,,,,,,,,,4,4,7,4,5,4,5
168,2,9,12,1,1,,,,,,,2014-Apr-06 00:00:00 +0000,,,,,,,,,,,,,9,4,4,7,4,4,4
169,2,11,12,1,1,,,,,,,2014-Aug-06 00:00:00 +0000,,,,,,,,,,,,,4,8,9,8,5,5,5
170,2,5,12,1,1,,,,,,,2014-Jul-19 00:00:00 +0000,,,,,,,,,,,,,4,9,6,6,7,8,9
171,2,5,12,1,1,,,,,,,2014-Feb-08 00:00:00 +0000,,,,,,,,,,,,,6,5,7,7,7,8,8
172,2,2,12,1,1,,,,,,,2014-Jul-02 00:00:00 +0000,,,,,,,,,,,,,8,5,9,4,6,7,5
173,2,7,12,1,1,,,,,,,2014-Jul-26 00:00:00 +0000,,,,,,,,,,,,,6,8,6,4,4,4,8
174,2,15,12,1,1,,,,,,,2014-Apr-18 00:00:00 +0000,,,,,,,,,,,,,7,9,5,5,8,7,4
175,2,17,12,1,1,,,,,,,2014-Mar-22 00:00:00 +0000,,,,,,,,,,,,,8,4,8,4,6,6,5
176,2,17,12,1,1,,,,,,,2014-Jun-01 00:00:00 +0000,,,,,,,,,,,,,4,5,6,5,7,6,8
177,2,18,12,1,1,,,,,,,2014-Mar-25 00:00:00 +0000,,,,,,,,,,,,,6,5,8,6,8,9,6
178,2,11,12,1,1,,,,,,,2014-Jun-21 00:00:00 +0000,,,,,,,,,,,,,8,7,9,6,6,6,4
179,2,2,12,1,1,,,,,,,2014-Jun-23 00:00:00 +0000,,,,,,,,,,,,,7,9,6,8,4,7,4
180,2,14,12,1,1,,,,,,,2014-Aug-19 00:00:00 +0000,,,,,,,,,,,,,8,6,7,5,8,4,6
181,2,2,12,1,1,,,,,,,2014-Aug-07 00:00:00 +0000,,,,,,,,,,,,,7,7,4,6,4,7,7
182,2,16,13,1,1,,,,,,,2014-Apr-24 00:00:00 +0000,,,,,,,,,,,,,5,8,7,5,4,8,5
183,2,4,13,1,1,,,,,,,2014-Mar-09 00:00:00 +0000,,,,,,,,,,,,,4,8,4,8,5,8,7
184,2,5,13,1,1,,,,,,,2014-May-06 00:00:00 +0000,,,,,,,,,,,,,5,6,5,5,8,4,8
185,2,5,13,1,1,,,,,,,2014-Feb-10 00:00:00 +0000,,,,,,,,,,,,,9,7,4,4,7,4,4
186,2,13,13,1,1,,,,,,,2014-Apr-18 00:00:00 +0000,,,,,,,,,,,,,6,4,6,8,6,8,4
187,2,12,13,1,1,,,,,,,2014-Aug-25 00:00:00 +0000,,,,,,,,,,,,,9,6,8,6,8,5,9
188,2,13,13,1,1,,,,,,,2014-Jul-15 00:00:00 +0000,,,,,,,,,,,,,5,4,5,4,8,9,6
189,2,4,13,1,1,,,,,,,2014-Mar-19 00:00:00 +0000,,,,,,,,,,,,,4,6,7,7,8,8,8
190,2,10,13,1,1,,,,,,,2014-Aug-01 00:00:00 +0000,,,,,,,,,,,,,8,8,8,7,4,9,8
191,2,14,13,1,1,,,,,,,2014-Mar-04 00:00:00 +0000,,,,,,,,,,,,,5,4,5,4,5,7,4
192,2,7,13,1,1,,,,,,,2014-Aug-17 00:00:00 +0000,,,,,,,,,,,,,4,5,7,5,4,9,6
193,2,14,13,1,1,,,,,,,2014-Jul-17 00:00:00 +0000,,,,,,,,,,,,,5,5,8,7,7,7,4
194,2,18,13,1,1,,,,,,,2014-Mar-13 00:00:00 +0000,,,,,,,,,,,,,4,6,4,6,4,7,9
195,2,6,13,1,1,,,,,,,2014-Apr-18 00:00:00 +0000,,,,,,,,,,,,,7,4,7,4,6,5,8
196,2,20,13,1,1,,,,,,,2014-Aug-17 00:00:00 +0000,,,,,,,,,,,,,7,8,6,7,4,5,6
197,2,19,13,1,1,,,,,,,2014-Apr-29 00:00:00 +0000,,,,,,,,,,,,,9,6,8,9,4,6,8
198,2,13,13,1,1,,,,,,,2014-Jan-29 00:00:00 +0000,,,,,,,,,,,,,6,7,5,8,7,7,7
199,2,3,13,1,1,,,,,,,2014-Aug-31 00:00:00 +0000,,,,,,,,,,,,,7,7,8,6,6,7,7
200,2,9,13,1,1,,,,,,,2014-Feb-03 00:00:00 +0000,,,,,,,,,,,,,4,8,5,4,7,9,6
201,2,9,13,1,1,,,,,,,2014-Jun-09 00:00:00 +0000,,,,,,,,,,,,,4,4,7,9,6,4,4
202,2,6,14,1,2,,,,,,,2014-Mar-21 00:00:00 +0000,,,,,,,,,,,,,8,5,6,5,6,5,7
203,2,19,14,1,2,,,,,,,2014-Feb-12 00:00:00 +0000,,,,,,,,,,,,,4,8,5,7,6,9,9
204,2,13,14,1,2,,,,,,,2014-Feb-16 00:00:00 +0000,,,,,,,,,,,,,8,7,4,5,7,7,9
205,2,9,14,1,2,,,,,,,2014-Jul-15 00:00:00 +0000,,,,,,,,,,,,,7,4,8,4,8,5,4
206,2,11,14,1,2,,,,,,,2014-Jun-02 00:00:00 +0000,,,,,,,,,,,,,4,5,7,4,6,4,4
207,2,15,14,1,2,,,,,,,2014-Mar-10 00:00:00 +0000,,,,,,,,,,,,,8,9,8,4,8,4,5
208,2,14,14,1,2,,,,,,,2014-Feb-15 00:00:00 +0000,,,,,,,,,,,,,7,4,4,6,7,6,6
209,2,10,14,1,2,,,,,,,2014-Jun-16 00:00:00 +0000,,,,,,,,,,,,,6,4,9,5,7,6,8
210,2,4,14,1,2,,,,,,,2014-Apr-15 00:00:00 +0000,,,,,,,,,,,,,4,9,8,6,4,7,4
211,2,12,14,1,2,,,,,,,2014-Mar-16 00:00:00 +0000,,,,,,,,,,,,,8,5,5,8,4,6,8
212,2,17,14,1,2,,,,,,,2014-Mar-18 00:00:00 +0000,,,,,,,,,,,,,8,4,7,5,8,7,5
213,2,10,14,1,2,,,,,,,2014-Jan-31 00:00:00 +0000,,,,,,,,,,,,,5,5,9,6,9,4,7
214,2,3,14,1,2,,,,,,,2014-Jun-26 00:00:00 +0000,,,,,,,,,,,,,8,4,4,7,4,8,7
215,2,11,14,1,2,,,,,,,2014-May-28 00:00:00 +0000,,,,,,,,,,,,,9,5,8,5,7,4,4
